"metadataMap.Author.keyword: Descending",Count
,107
"Baedeker, Karl",54
"Cicero, Marcus Tullius",25
"Henrici, Daniel",24
"Ostwald, Wilhelm",23
"Luther, Martin",21
"Werenfels, Peter",19
"Comenius, Johann Amos",18
"Harnack, Adolf von",17
Plato,17
"Maeterlinck, Maurice",15
Sophocles,15
"Cundisius, Gottfried",14
"Kant, Immanuel",14
"Kirchmann, Julius H. von",14
"Wundt, Wilhelm",14
Aristoteles,13
"Hartmann, Eduard von",13
"Meisner, Balthasar",12
"Dedekind, Constantin Christian",11
"Dieterich, Conrad",11
"Erasmus, Desiderius",11
"Feller, Joachim",11
"Gerhard, Johann",11
"Gernler, Lucas",11
"Hackelmann, Leopold",11
"Heinrici, Daniel",11
"Lessing, Gotthold Ephraim",11
"Piscator, Johannes",11
"Carpzov, Johann Benedict",10
"Eucken, Rudolf",10
"Jeremias, Alfred",10
"Kruse, Heinrich",10
"Luthardt, Christoph Ernst",10
"Sohm, Rudolph",10
"Zimmermann, Daniel",10
"Grosser, Samuel",9
"Ihmels, Ludwig",9
"Melanchthon, Philipp",9
"Planck, Max",9
"Scharf, Johann",9
"Schönaich-Carolath, Emil von",9
"Spinoza, Benedictus de",9
"Barth, Paul",8
"Delitzsch, Friedrich",8
"Krause, Karl Christian Friedrich",8
"Lübsen, Heinrich B.",8
"Mehlhorn, Paul",8
"Osiander, Lucas",8
"Weinrich, Georg",8
"Zitelmann, Ernst",8
"Fox, George",7
"Hilty, Carl",7
"Huch, Ricarda",7
"Lagarde, Paul de",7
"Lipps, Theodor",7
"Lotze, Hermann",7
"Mentzer, Balthasar",7
"Meyer, Conrad Ferdinand",7
"Reyher, Andreas",7
"Schmidt, Richard",7
"Stegmann, Josua",7
"Strümpell, Ludwig",7
"Unna, Paul Gerson",7
"Vergilius Maro, Publius",7
"Wieseler, Friedrich",7
"Bartels, Adolf",6
"Baumann, Julius",6
"Baumbach, Rudolf",6
"Becker, Cornelius",6
"Bornhak, Conrad",6
"Brugsch, Heinrich",6
"Combach, Johann",6
"Crusius, Johann Caspar",6
"Eckardt, Julius Wilhelm Albert von",6
"Feine, Paul",6
"Funcke, Christian",6
"Hagenbach, Karl Rudolf",6
"Helm, Georg",6
Homerus,6
"Hunnius, Aegidius",6
"Höpfner, Heinrich",6
"Leyser, Wilhelm",6
"Lommel, Eugen von",6
"Marshall, William",6
"Meissner, Bruno",6
"Meyer, Georg",6
"Reichenbach, Anton B.",6
"Righi, Augusto",6
"Rist, Johann",6
"Schleiermacher, Friedrich",6
"Schmoller, Gustav von",6
"Schubert, Hermann",6
"Schönherr, Karl",6
"Simmel, Georg",6
"Spangenberg, Cyriacus",6
"Steffen, Gustaf Fredrik",6
"Sternheim, Carl",6
"Thill, Johann Gottlieb",6
"Weiss, Bernhard",6
"Wettstein, Johann Rudolf",6
"Weyrauch, Jacob J.",6
"Winckler, Hugo",6
"Ziegler, Theobald",6
"Alberti, Valentin",5
"Baptista, Mantuanus",5
"Bergson, Henri",5
"Bernheim, Ernst",5
"Binding, Karl",5
"Bohn, Johann",5
"Bormann, Edwin",5
"Bölsche, Wilhelm",5
"Cohen, Ernst",5
"Däubler, Theodor",5
"Dühring, Eugen",5
"Elsenhans, Theodor",5
"Engel, Eduard",5
"Gaudig, Hugo",5
"Heymans, Gerardus",5
"Hoepner, Johann",5
"Hoë von Hoënegg, Matthias",5
"Høffding, Harald",5
Isocrates,5
"Joël, Karl",5
"Kalthoff, Albert",5
"Kleinpaul, Rudolf",5
"Kromayer, Hieronymus",5
"Kähler, Martin",5
"Lange, Christian",5
"Lipps, Gottlob Friedrich",5
"Marx, Karl F. H.",5
"Meili, Friedrich",5
"Molière",5
"Nathusius, Martin von",5
"Ovidius Naso, Publius",5
"Rubner, Max",5
"Schiller, Friedrich",5
"Schiller, Herman",5
"Schmuck, Vincentius",5
"Schnedermann, Georg Hermann",5
"Spener, Philipp Jakob",5
"Vesti, Justus",5
"Volkelt, Johannes",5
"Zweig, Stefan",5
"Zwinger, Johann",5
"Achelis, Thomas",4
"Ahlfeld, Johann Friedrich",4
"Arendt, Rudolf",4
"Bail, Theodor",4
"Bardey, Ernst",4
"Beard, George Miller",4
"Beaux, Alberto de",4
"Benz, Richard",4
"Bleibtreu, Carl",4
"Boas, Ismar",4
"Bourignon, Antoinette",4
"Bresgen, Maximilian",4
"Brunner, Heinrich",4
"Bürger, Otto",4
"Camerarius, Joachim",4
"Cohn, Lassar",4
"Crusius, Martin",4
"Dalman, Gustaf",4
"Dannhauer, Johann Conrad",4
"Dobschütz, Ernst von",4
"Ernesti, Johann Heinrich",4
Euripides,4
"Fagnani, Prospero",4
"Finger, Ernest",4
"Fomann, Ortolph",4
"Forster, Valentin Wilhelm",4
"Franck, Sebastian",4
"Fuchs, Carl Johannes",4
"Gensel, Julius",4
"Gleichen, Alexander",4
"Graefe, Friedrich",4
"Grasberger, Hans",4
"Hildebrand, Rudolf",4
"Hippolytus, Romanus",4
"Horatius Flaccus, Quintus",4
"Hume, David",4
"Ittig, Thomas",4
"James, William",4
"Jentsch, Karl",4
"Jäkel, Julius Cäsar",4
"Kerschensteiner, Georg",4
"Kohlrausch, Friedrich",4
"Kuntze, Johannes Emil",4
"Köhler, Gustav",4
"Lublinski, Samuel",4
"Lyon, Otto",4
"Martini, Jakob",4
"Meumann, Ernst",4
"Möbius, Paul J.",4
"Neumann, Carl",4
"Niemeyer, Theodor",4
"Petzoldt, Abraham",4
"Pfautz, Christoph",4
"Pflüger, Heinrich Hackfeld",4
Phaedrus,4
"Pikler, Gyula",4
"Ramshorn, Carl",4
"Reusner, Nikolaus",4
"Rhenius, Johann",4
"Riemann, Bernhard",4
"Ritzsch, Gregorius",4
"Salzmann, Christian Gotthilf",4
"Schian, Martin",4
"Schmidt, Adolf",4
"Schneider, Konrad Victor",4
"Scholz, Friedrich",4
"Schultetus, Christoph",4
"Seeberg, Reinhold",4
"Selnecker, Nikolaus",4
"Sennert, Daniel",4
"Sombart, Werner",4
"Sperling, Johann",4
"Spitteler, Carl",4
"Stern, Adolf",4
"Stern, Robert",4
"Stern, William",4
"Stryk, Samuel",4
"Stumme, Hans",4
"Vives, Juan Luis",4
"Weber, Otto",4
"Wiedemann, Alfred",4
"Wiener, Otto",4
"Will, Heinrich",4
"Wonna, Georg",4
"Wyneken, Gustav",4
"Wünsche, Otto",4
"Zezschwitz, Karl Adolf Gerhard von",4
"Zimmern, Heinrich",4
"Adamkiewicz, Albert",3
"Alard, Wilhelm",3
"Arndt, Rudolf",3
"Arnold, Carl",3
"Arrhenius, Svante",3
"Baehrens, Wilhelm Adolf",3
"Bahr, Hermann",3
